rank,accuracy,error,level,folds,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,iteration
0.9267544333910043,0.1875,0.15902086937716237,0,0,1.0,,,,,,,,,,,10
0.9262408088235302,0.18382352941176472,0.15534439878892708,1,0,0.7566554021002561,0.24334459789974391,,,,,,,,,,10
1.0,0.003676470588235294,0.49816176470588236,2,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,,,10
1.0,0.003676470588235294,0.49816176470588236,3,0,0.25,0.25,0.25,0.25,,,,,,,,10
1.0,0.003676470588235294,0.49816176470588236,4,0,0.2,0.2,0.2,0.2,0.2,,,,,,,10
1.0,0.003676470588235294,0.49816176470588236,5,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,,,,,10
1.0,0.003676470588235294,0.49816176470588236,6,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,,,,,10
1.0,0.003676470588235294,0.49816176470588236,7,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,,,,10
1.0,0.003676470588235294,0.49816176470588236,8,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,,,10
1.0,0.003676470588235294,0.49816176470588236,9,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,10
1.0,0.003676470588235294,0.49816176470588236,10,0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,10
0.9265516868512119,0.1801470588235294,0.19047361591695483,0,1,1.0,,,,,,,,,,,10
0.926362456747405,0.17647058823529413,0.18914900519031122,1,1,0.7295695060005963,0.27043049399940366,,,,,,,,,,10
1.0,0.003676470588235294,0.49816176470588236,2,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,,,10
1.0,0.003676470588235294,0.49816176470588236,3,1,0.25,0.25,0.25,0.25,,,,,,,,10
1.0,0.003676470588235294,0.49816176470588236,4,1,0.2,0.2,0.2,0.2,0.2,,,,,,,10
1.0,0.003676470588235294,0.49816176470588236,5,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,,,,,10
1.0,0.003676470588235294,0.49816176470588236,6,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,,,,,10
1.0,0.003676470588235294,0.49816176470588236,7,1,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,,,,10
1.0,0.003676470588235294,0.49816176470588236,8,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,,,10
1.0,0.003676470588235294,0.49816176470588236,9,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,10
1.0,0.003676470588235294,0.49816176470588236,10,1,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,10
